call_date,fips_br,cntynamb,stalpbr,loans,re_loans,agloans,agloans_re,loans_d,loans_d_alt,re_loans_d,re_loans_d_alt,agloans_d,agloans_d_alt,agloans_re_d,agloans_re_d_alt,total_branches,total_ag_branches,total_ag_branch_deposits
2019.2,1001,Autauga,AL,489215527.0832682,300535898.1631555,2142689.4807494516,4625746.244516035,6168842.955657319,3801530.19807121,3920430.077072966,2332965.8528159116,20223.868658359002,16979.255412184255,80828.1556739033,42163.21640784294,16,0,0
2019.2,1003,Baldwin,AL,3752617160.228133,2163325151.2985716,23645648.481988423,39660473.4737655,55585334.70891954,36258856.21191201,35818935.99129204,23114839.156124458,244319.012879199,196696.10972512836,905385.9694222776,584903.2784937464,92,0,0
2019.2,1005,Barbour,AL,342540946.3172736,229901758.54004174,8243275.279492599,8275910.841982914,5115223.278599792,3796732.8667035745,3671047.30187925,2791099.3760372107,11908.192381690353,6185.801542273997,33108.74846695011,17890.634423977637,12,0,0
2019.2,1007,Bibb,AL,134860633.41160014,91730677.08370177,324184.4738044079,1501291.0107968189,2144728.6154820547,858139.4377668097,1582723.6032536887,610649.1149453665,383.4054426527365,170.55903882713648,25084.41820179809,3103.089923708782,7,0,0
2019.2,1009,Blount,AL,530656840.4220965,333223281.54045177,2009878.034463841,9736766.406795437,7433701.378357874,3570488.5705640796,4025221.221719708,1572174.1528707282,11412.233891697739,9472.00437547884,26770.68957135786,13913.399166011783,14,0,0
2019.2,1011,Bullock,AL,73945414.64243221,50661309.229989015,2893651.3039407553,693902.1215450934,1673336.284077684,984126.3206829515,1293760.2127396734,701415.004908877,0,0,70736.72652679076,70000,2,0,0
2019.2,1013,Butler,AL,226165316.10440126,140741655.28879714,2648283.266549022,5818892.583753175,3734889.0686897645,2372292.6941016815,2528725.7985398085,1455699.214015486,5783.508650314274,2719.6173313690374,60006.450373785745,18960.197313250366,9,0,0
2019.2,1015,Calhoun,AL,1532660135.7453096,925574616.0342226,5451747.329974323,9306168.01937291,22135910.999987975,12594936.184294892,15568752.249561768,8723377.694423925,87917.71841832506,73294.07849003568,96588.38563171831,81905.5215941597,32,0,0
2019.2,1017,Chambers,AL,215324331.42182437,152126777.54012632,1312774.6612868381,5651117.7689733375,3001277.687959563,895213.7115084571,1763564.0011563166,739385.6699720727,1045.8804389131674,1045.8804389131674,141099.4151603891,13017.636461142782,8,0,0
2019.2,1019,Cherokee,AL,203888821.81278962,128059113.29357412,1910954.4201903888,6152536.796079416,4029850.1114119263,1984342.9161189357,2160821.719987762,1336359.490850531,12163.346812413576,10359.53453167904,283332.1778106799,213635.847246892,7,0,0
2019.2,1021,Chilton,AL,297137287.4598516,191524415.56155145,1014886.2707225352,4518346.7849184675,3962486.5786146815,2238186.7754461314,2935075.825562096,1732560.026906379,17205.219146760206,15278.033989636235,86364.92285241757,13059.845676155128,11,0,0
2019.2,1023,Choctaw,AL,167738918.0448677,100296654.16917804,1114259.9875385559,5705238.488106274,2250566.5570266643,1047136.859882392,1358919.2730671142,581090.6838740197,12816.31935828333,11167.470024407607,113777.13555680343,7218.622103020452,5,0,0
2019.2,1025,Clarke,AL,487527534.7016061,341948362.4732972,2930573.3114582286,9868082.999762135,5367103.930540264,2809569.298250662,3451968.7360518645,1953577.3104215073,40538.30273815332,24185.99552722011,255378.32993023828,193733.9521041588,14,1,86699000
2019.2,1027,Clay,AL,139543055.370733,104865991.07989076,3992065.297233249,50474236.78649322,1596432.8039844306,658921.6212445886,1160661.7795278747,562686.4110804168,3707.3152365102173,3425.6469714006885,243362.33156942873,243169.06014628604,4,2,398370000
2019.2,1029,Cleburne,AL,94984666.6421311,78937065.43564387,154799.66022451315,5897082.856072792,2098431.369810114,933884.1750559882,1935718.1586901755,893043.3348595488,0,0,183544.8620544717,91181.4178883572,4,0,0
2019.2,1031,Coffee,AL,522465625.39384216,351325100.11669385,3668864.8597543985,17767904.76950058,6768113.37713278,4025013.3936844068,4472014.248735387,2518121.572711254,79849.97081463815,63857.29329858713,426564.4910147812,237869.49807506753,13,0,0
