year,stalpbr,loans,re_loans,agloans,agloans_re,loans_year,re_loans_year,agloans_year,agloans_re_year,loans_d,loans_d_alt,re_loans_d,re_loans_d_alt,agloans_d,agloans_d_alt,agloans_re_d,agloans_re_d_alt,loans_d_year,loans_d_alt_year,re_loans_d_year,re_loans_d_alt_year,agloans_d_year,agloans_d_alt_year,agloans_re_d_year,agloans_re_d_alt_year,total_branches,total_ag_branches,total_ag_branch_deposits
1994,AK,2824928702.7203817,1347447830.345688,2898445.692358286,3772210.287770391,2797666150.4920545,1361185723.2257838,2975001.0721070278,3413419.2890123483,26333046.477646578,26333046.477646578,11751613.036821457,11751613.036821457,500000,500000,0,0,25133650.7231904,25133650.7231904,11007491.32707576,11007491.32707576,134250,134250,0,0,127,0,0
1994,AL,32897009956.927048,18026686356.54957,342864194.2453699,335893259.0621142,33638421275.827305,18537254084.161335,325241579.65831476,337933262.0630319,221859506.8636659,221859506.8636659,120147635.37884517,120147635.37884517,882000,882000,2615998.301947666,2615998.301947666,222713138.61987922,222713138.61987922,117644872.50285523,117644872.50285523,1067499.044845562,1067499.044845562,2460831.9536658134,2460831.9536658134,1335,20,591294000
1994,AR,15673158595.756802,9157222293.712786,855332105.8054745,723190197.3514028,15927151976.19565,9356377227.793589,798184610.0316569,736866365.278221,124786434.95421754,124786434.95421754,77364677.54102461,77364677.54102461,6796000.495384046,6796000.495384046,7803000.05277963,7803000.05277963,122149361.78813009,122149361.78813009,75889821.54208331,75889821.54208331,5913000.5027878815,5913000.5027878815,7824000.579707641,7824000.579707641,1004,164,9685311000
1994,AS,84805282.64030309,39235016.71438685,307287.844491962,51448.48395347463,86609282.06071599,40110706.95409908,290113.7739625908,50653.119167673125,498356.890073337,498356.890073337,203228.51474903838,203228.51474903838,76158.41241124037,76158.41241124037,652.3778580169616,652.3778580169616,589263.1377140703,589263.1377140703,307203.79455929436,307203.79455929436,76069.04558137503,76069.04558137503,3418.281242349148,3418.281242349148,4,0,0
1994,AZ,24363574066.54033,10501593035.587122,348669999.99999964,37108999.99999999,25743970621.833267,10622602423.345139,378228749.6362271,39815000.000000015,243569879.983619,243569879.983619,145757985.76649618,145757985.76649618,4516000.000000001,4516000.000000001,2995999.9999999986,2995999.9999999986,242740465.45355216,242740465.45355216,141086403.57571253,141086403.57571253,5319499.9999999935,5319499.9999999935,3270000.0000000005,3270000.0000000005,855,0,0
1994,CA,353656180101.99335,247949939369.9628,3323193331.3126116,1100397855.514171,358230351450.395,250766625510.1318,3246522661.3904724,1115198668.8769667,9721544578.735477,9721544578.735477,8385185481.106081,8385185481.106081,38955322.58700449,38955322.58700449,34891196.75903289,34891196.75903289,9236152816.914364,9236152816.914364,7819473410.184242,7819473410.184242,34071223.130369276,34071223.130369276,34184452.47745441,34184452.47745441,6724,31,3362967000
1994,CO,25172893614.25252,15677718889.312803,777251195.3876206,244238172.66392595,25650401541.01999,16039362334.070135,765208396.5407156,249166074.4328395,185266165.871806,185266165.871806,129236691.61274426,129236691.61274426,9733999.999999998,9733999.999999998,5333000.000000001,5333000.000000001,185601520.77248332,185601520.77248332,130714867.200665,130714867.200665,10046166.666666664,10046166.666666664,5257499.999999998,5257499.999999998,856,105,4612755000
1994,CT,43914550952.49553,33025211652.41797,4959128.047093072,11489981.672226664,44088716988.76096,32990510529.36083,6867756.733792756,12418503.499639723,1037884425.6172785,1037884425.6172785,775923551.9708797,775923551.9708797,835344.5168046013,835344.5168046013,770680.101443964,770680.101443964,992317995.8119906,992317995.8119906,751379835.2804347,751379835.2804347,817500.8442397614,817500.8442397614,933872.685910484,933872.685910484,1234,0,0
1994,DC,7832364266.675213,5624431677.569843,512353.07844152884,4269461.778325422,7628701641.5313835,5534790427.3534565,332765.8544629243,3111393.204330692,206158257.15570563,206158257.15570563,156648344.53759152,156648344.53759152,0,0,93506.63386994625,93506.63386994625,181133110.56798214,181133110.56798214,137393026.23808962,137393026.23808962,0,0,69382.97691759642,69382.97691759642,246,0,0
1994,DE,65886902862.64164,5317504988.989489,50916992.35207352,31752985.850809187,67806506749.70263,5324492991.860254,47791743.76193287,33485484.41727396,985309991.0514544,985309991.0514544,141756367.96070126,141756367.96070126,28859000.626217924,28859000.626217924,5880995.028370569,5880995.028370569,1038049105.7497747,1038049105.7497747,139809871.46214134,139809871.46214134,26249750.629765466,26249750.629765466,5739745.777980419,5739745.777980419,255,0,0
