year,stalpbr,loans,re_loans,agloans,agloans_re,loans_d,loans_d_alt,re_loans_d,re_loans_d_alt,agloans_d,agloans_d_alt,agloans_re_d,agloans_re_d_alt,total_branches,total_ag_branches,total_ag_branch_deposits
2019.3,AK,8779310920.9938,5110086451.76141,116140483.79197209,14916001.058830962,152145805.46168163,104075015.80098055,105081824.41396229,74479213.06491098,2293143.7901998097,2093765.6704590619,376468.0387127762,303024.6852575446,121,0,0
2019.3,AL,89276260261.15056,51541397324.89892,498393615.0817478,1182026066.1693127,1291307587.2775416,795597787.8513955,749143033.0199456,460931374.382225,8251290.051849321,6816745.871127242,21098102.794355348,12187123.401467761,1457,20,2730407000
2019.3,AR,60185574258.15975,42679927885.54195,1463576530.7507591,3377051865.0566683,748471583.8401165,447452890.31385314,536719459.39838827,330318741.8900699,21594083.628248304,16662745.77361792,67418151.97937359,49295399.48764452,1332,163,49345949000
2019.3,AS,72561839.93142207,50416025.66953651,3362.1761105977903,11263.333555881267,3028080.3075100332,2301747.0380308693,2589661.3871868406,2077395.16892919,0,0,5638.204584741122,5638.204584741122,3,0,0
2019.3,AZ,110266833378.34485,55808788202.59198,400471511.2084433,384112805.6176629,2127988225.901833,1383025547.189199,1531380563.800563,1018658643.3949075,11862311.868246565,9659013.903240439,13605052.323040672,11139697.968689486,1157,2,320926000
2019.3,CA,1172208668036.5999,607607474936.1028,6962697294.0333,8232711977.400574,15710105953.524416,10016688721.65765,9660776511.646658,6489609861.734192,215635350.48218438,169280898.78069088,178562116.51920715,158426641.7539539,6733,146,1120045032000
2019.3,CO,110535783908.05054,64113446387.04532,1848617776.5398655,1905689839.892996,1752126758.0738268,1108451441.1929452,1163017350.8165421,786819046.9878762,32851292.271540884,23296179.156292535,49463685.70329543,38130774.58983771,1445,85,22041927000
2019.3,CT,117461444083.79066,68044262407.13647,83494417.94632828,97218114.92641403,1425108442.4857094,937767956.8834748,905510502.1867023,639934051.4643292,2064374.9042628044,1654900.5038943337,3710303.369389273,2455654.7890568,1129,0,0
2019.3,DC,43336489499.68743,18856521063.164726,52935428.92319438,52039444.071674526,707778206.3678395,431651326.9829691,415494847.55996907,273817553.1688105,1338193.2053042797,1089198.8093908897,1802435.4837511259,1481095.820659288,211,0,0
2019.3,DE,298273913595.8034,53026596348.152504,85202573.00078027,136901938.51970378,8288091258.982917,3585486971.6217203,816092145.064452,647358793.9190186,739181.2606901785,524285.42315843847,2187177.7112733535,1536865.0303822125,261,0,0
2019.3,FL,506395928818.6631,261621221567.01657,776125062.6903567,1393280652.4316485,10260895949.406397,7251518992.539389,7448765454.391105,5583889972.65634,16332665.9113379,12965363.90018109,35675431.85575763,26370504.695803292,4818,6,1257352000
2019.3,FM,235114047.21898538,133213982.48246816,10231.585901556311,89802.40863236474,8180661.1276011355,3835706.2841818365,4279851.447885324,1962250.0241194875,0,0,0,0,8,0,0
2019.3,GA,211613632569.9456,114096638187.39005,872720965.1651131,2413926087.9879217,3333129279.9586496,2133974409.874713,1925785501.220114,1281420730.5680454,13417230.657155897,10603385.067822598,77184479.372048,61032094.257214166,2253,51,10101212000
2019.3,GU,2477781594.0004053,1598777142.5926862,112464.6982490972,2108521.9922261625,50035077.964872785,23049054.14734988,32867331.482241333,15551500.16722219,0,0,82068.9853460787,74870.6089707112,22,0,0
2019.3,HI,36344545097.24906,26748451258.913017,7182440.229283167,30266441.07176973,188219065.91260827,82484423.54032896,95390780.24066104,59784967.95876662,74328.14384898549,70328.14384898549,1929560.7235516456,1665316.6686513384,269,0,0
2019.3,IA,76238523688.89613,47433548648.11859,8886031499.73236,10242514079.360415,1040906390.5717778,618160195.3359461,594265402.2371701,354714585.63184774,146147972.3546776,96573612.71920313,164025150.1601183,107967153.61559542,1508,819,277950254000
2019.3,ID,21923397880.9055,12386445984.367393,631276148.0455359,482554122.5110561,291764772.3881357,186789887.4950044,191880621.57149115,134329573.43561253,8561810.692271428,6685235.778316203,12448422.745678717,9939823.962296156,467,66,61421506000
2019.3,IL,412087313460.3178,188379394767.57483,5018049176.458853,7957330932.966791,6093796079.579266,3922878125.739267,3592427855.6543584,2471423452.951061,94571021.49287327,73369608.78648032,192249538.11657983,148894810.29969484,4217,526,143254343000
